DATE,TIME,SPO2,PULSE
2015-01-01, 00:00:14, 97, 80
2015-01-01, 00:00:15, 97, 80
2015-01-01, 00:00:16, 97, 80
2015-01-01, 00:00:17, 98, 80
2015-01-01, 00:00:18, 98, 80
2015-01-01, 00:00:19, 98, 80
2015-01-01, 00:00:20, 98, 80
2015-01-01, 00:00:21, 98, 80
2015-01-01, 00:00:22, 98, 80
2015-01-01, 00:00:23, 98, 80
2015-01-01, 00:00:24, 98, 80
2015-01-01, 00:00:25, 98, 80
2015-01-01, 00:00:26, 98, 80
2015-01-01, 00:00:27, 98, 80
2015-01-01, 00:00:28, 98, 80
2015-01-01, 00:00:29, 98, 80
2015-01-01, 00:00:30, 98, 80
2015-01-01, 00:00:31, 98, 80
2015-01-01, 00:00:32, 98, 80
2015-01-01, 00:00:33, 98, 80
2015-01-01, 00:00:34, 98, 80
2015-01-01, 00:00:35, 98, 80
2015-01-01, 00:00:36, 98, 80
2015-01-01, 00:00:37, 98, 80
2015-01-01, 00:00:38, 98, 79
2015-01-01, 00:00:39, 98, 79
2015-01-01, 00:00:40, 98, 79
2015-01-01, 00:00:41, 98, 79
2015-01-01, 00:00:42, 98, 79
2015-01-01, 00:00:43, 98, 79
2015-01-01, 00:00:44, 98, 79
2015-01-01, 00:00:45, 98, 79
2015-01-01, 00:00:46, 98, 79
2015-01-01, 00:00:47, 98, 79
2015-01-01, 00:00:48, 98, 79
2015-01-01, 00:00:49, 98, 79
2015-01-01, 00:00:50, 98, 79
2015-01-01, 00:00:51, 98, 78
2015-01-01, 00:00:52, 98, 78
2015-01-01, 00:00:53, 98, 78
2015-01-01, 00:00:54, 98, 78
2015-01-01, 00:00:55, 98, 78
2015-01-01, 00:00:56, 98, 78
2015-01-01, 00:00:57, 98, 78
2015-01-01, 00:00:58, 98, 78
2015-01-01, 00:00:59, 98, 78
2015-01-01, 00:01:00, 98, 78
2015-01-01, 00:01:01, 98, 78
2015-01-01, 00:01:02, 98, 78
2015-01-01, 00:01:03, 98, 78
2015-01-01, 00:01:04, 98, 78
2015-01-01, 00:01:05, 98, 78
2015-01-01, 00:01:06, 98, 78
2015-01-01, 00:01:07, 98, 78
2015-01-01, 00:01:08, 98, 79
2015-01-01, 00:01:09, 98, 80
2015-01-01, 00:01:10, 98, 82
2015-01-01, 00:01:11, 98, 83
2015-01-01, 00:01:12, 98, 85
2015-01-01, 00:01:13, 98, 86
2015-01-01, 00:01:14, 98, 87
2015-01-01, 00:01:15, 98, 86
2015-01-01, 00:01:16, 98, 85
2015-01-01, 00:01:17, 98, 84
