DATE,TIME,SPO2,PULSE
0000-00-00, 00:00:00, 99, 76
0000-00-00, 00:00:01, 99, 76
0000-00-00, 00:00:02, 99, 76
0000-00-00, 00:00:03, 99, 76
0000-00-00, 00:00:04, 99, 76
0000-00-00, 00:00:05, 99, 76
0000-00-00, 00:00:06, 99, 76
0000-00-00, 00:00:07, 98, 76
0000-00-00, 00:00:08, 98, 76
0000-00-00, 00:00:09, 98, 76
0000-00-00, 00:00:10, 98, 76
0000-00-00, 00:00:11, 98, 76
0000-00-00, 00:00:12, 98, 76
0000-00-00, 00:00:13, 98, 76
0000-00-00, 00:00:14, 98, 76
0000-00-00, 00:00:15, 98, 76
0000-00-00, 00:00:16, 98, 76
0000-00-00, 00:00:17, 98, 76
0000-00-00, 00:00:18, 98, 76
0000-00-00, 00:00:19, 98, 76
0000-00-00, 00:00:20, 98, 76
0000-00-00, 00:00:21, 98, 76
0000-00-00, 00:00:22, 98, 77
0000-00-00, 00:00:23, 98, 77
0000-00-00, 00:00:24, 98, 78
0000-00-00, 00:00:25, 98, 78
0000-00-00, 00:00:26, 98, 78
0000-00-00, 00:00:27, 98, 78
0000-00-00, 00:00:28, 98, 78
0000-00-00, 00:00:29, 98, 78
0000-00-00, 00:00:30, 98, 78
0000-00-00, 00:00:31, 98, 78
0000-00-00, 00:00:32, 98, 78
0000-00-00, 00:00:33, 98, 78
0000-00-00, 00:00:34, 98, 78
0000-00-00, 00:00:35, 98, 78
0000-00-00, 00:00:36, 98, 78
0000-00-00, 00:00:37, 98, 77
0000-00-00, 00:00:38, 98, 77
0000-00-00, 00:00:39, 98, 77
0000-00-00, 00:00:40, 98, 77
0000-00-00, 00:00:41, 98, 77
0000-00-00, 00:00:42, 97, 78
0000-00-00, 00:00:43, 97, 78
0000-00-00, 00:00:44, 97, 78
0000-00-00, 00:00:45, 98, 78
0000-00-00, 00:00:46, 98, 78
0000-00-00, 00:00:47, 98, 78
0000-00-00, 00:00:48, 98, 78
0000-00-00, 00:00:49, 98, 78
0000-00-00, 00:00:50, 98, 78
0000-00-00, 00:00:51, 98, 78
0000-00-00, 00:00:52, 98, 78
0000-00-00, 00:00:53, 98, 78
0000-00-00, 00:00:54, 98, 78
0000-00-00, 00:00:55, 98, 78
0000-00-00, 00:00:56, 98, 78
0000-00-00, 00:00:57, 98, 78
0000-00-00, 00:00:58, 98, 78
0000-00-00, 00:00:59, 98, 78
0000-00-00, 00:01:00, 98, 78
0000-00-00, 00:01:01, 98, 78
0000-00-00, 00:01:02, 98, 78
0000-00-00, 00:01:03, 98, 78
0000-00-00, 00:01:04, 98, 78
0000-00-00, 00:01:05, 98, 78
0000-00-00, 00:01:06, 98, 78
0000-00-00, 00:01:07, 98, 78
0000-00-00, 00:01:08, 98, 78
0000-00-00, 00:01:09, 98, 78
0000-00-00, 00:01:10, 98, 78
0000-00-00, 00:01:11, 98, 78
0000-00-00, 00:01:12, 98, 77
0000-00-00, 00:01:13, 99, 77
0000-00-00, 00:01:14, 99, 77
0000-00-00, 00:01:15, 99, 77
0000-00-00, 00:01:16, 99, 77
0000-00-00, 00:01:17, 99, 76
0000-00-00, 00:01:18, 99, 75
0000-00-00, 00:01:19, 99, 75
0000-00-00, 00:01:20, 99, 75
0000-00-00, 00:01:21, 99, 75
0000-00-00, 00:01:22, 99, 75
0000-00-00, 00:01:23, 99, 75
0000-00-00, 00:01:24, 99, 75
0000-00-00, 00:01:25, 99, 74
0000-00-00, 00:01:26, 99, 74
0000-00-00, 00:01:27, 99, 74
0000-00-00, 00:01:28, 99, 74
0000-00-00, 00:01:29, 99, 74
0000-00-00, 00:01:30, 99, 74
0000-00-00, 00:01:31, 99, 74
0000-00-00, 00:01:32, 99, 74
0000-00-00, 00:01:33, 99, 74
0000-00-00, 00:01:34, 99, 74
0000-00-00, 00:01:35, 99, 73
0000-00-00, 00:01:36, 99, 73
0000-00-00, 00:01:37, 99, 72
0000-00-00, 00:01:38, 99, 72
0000-00-00, 00:01:39, 99, 72
0000-00-00, 00:01:40, 99, 72
0000-00-00, 00:01:41, 99, 72
0000-00-00, 00:01:42, 99, 72
0000-00-00, 00:01:43, 99, 72
0000-00-00, 00:01:44, 99, 72
0000-00-00, 00:01:45, 99, 72
0000-00-00, 00:01:46, 99, 72
0000-00-00, 00:01:47, 99, 72
0000-00-00, 00:01:48, 99, 72
0000-00-00, 00:01:49, 99, 72
0000-00-00, 00:01:50, 99, 72
0000-00-00, 00:01:51, 99, 72
0000-00-00, 00:01:52, 99, 72
0000-00-00, 00:01:53, 99, 72
0000-00-00, 00:01:54, 99, 72
0000-00-00, 00:01:55, 99, 72
0000-00-00, 00:01:56, 99, 72
0000-00-00, 00:01:57, 99, 72
0000-00-00, 00:01:58, 99, 72
0000-00-00, 00:01:59, 99, 71
0000-00-00, 00:02:00, 99, 70
0000-00-00, 00:02:01, 99, 69
0000-00-00, 00:02:02, 99, 67
0000-00-00, 00:02:03, 99, 66
0000-00-00, 00:02:04, 99, 66
0000-00-00, 00:02:05, 99, 65
0000-00-00, 00:02:06, 99, 65
0000-00-00, 00:02:07, 99, 65
0000-00-00, 00:02:08, 99, 65
0000-00-00, 00:02:09, 99, 65
0000-00-00, 00:02:10, 99, 65
0000-00-00, 00:02:11, 99, 65
0000-00-00, 00:02:12, 99, 65
0000-00-00, 00:02:13, 99, 65
0000-00-00, 00:02:14, 99, 65
0000-00-00, 00:02:15, 99, 65
0000-00-00, 00:02:16, 99, 65
0000-00-00, 00:02:17, 99, 65
0000-00-00, 00:02:18, 99, 65
0000-00-00, 00:02:19, 99, 65
0000-00-00, 00:02:20, 99, 65
0000-00-00, 00:02:21, 99, 65
0000-00-00, 00:02:22, 99, 65
0000-00-00, 00:02:23, 99, 65
0000-00-00, 00:02:24, 99, 65
0000-00-00, 00:02:25, 99, 65
0000-00-00, 00:02:26, 99, 65
