DATE,TIME,SPO2,PULSE
2015-01-01, 06:20:23, 98, 64
2015-01-01, 06:20:24, 98, 64
2015-01-01, 06:20:25, 98, 64
2015-01-01, 06:20:26, 98, 64
2015-01-01, 06:20:27, 98, 64
2015-01-01, 06:20:28, 98, 64
2015-01-01, 06:20:29, 98, 64
2015-01-01, 06:20:30, 98, 64
2015-01-01, 06:20:31, 98, 64
2015-01-01, 06:20:32, 98, 64
2015-01-01, 06:20:33, 98, 64
2015-01-01, 06:20:34, 98, 64
2015-01-01, 06:20:35, 98, 64
2015-01-01, 06:20:36, 98, 64
2015-01-01, 06:20:37, 98, 65
2015-01-01, 06:20:38, 98, 65
2015-01-01, 06:20:39, 98, 66
2015-01-01, 06:20:40, 98, 66
2015-01-01, 06:20:41, 98, 66
2015-01-01, 06:20:42, 98, 66
2015-01-01, 06:20:43, 98, 66
2015-01-01, 06:20:44, 98, 66
2015-01-01, 06:20:45, 98, 66
2015-01-01, 06:20:46, 98, 66
2015-01-01, 06:20:47, 98, 67
2015-01-01, 06:20:48, 98, 67
2015-01-01, 06:20:49, 98, 67
2015-01-01, 06:20:50, 98, 67
2015-01-01, 06:20:51, 98, 67
2015-01-01, 06:20:52, 98, 67
2015-01-01, 06:20:53, 98, 67
2015-01-01, 06:20:54, 98, 67
2015-01-01, 06:20:55, 98, 67
2015-01-01, 06:20:56, 98, 67
2015-01-01, 06:20:57, 98, 67
2015-01-01, 06:20:58, 98, 67
2015-01-01, 06:20:59, 98, 67
2015-01-01, 06:21:00, 98, 67
2015-01-01, 06:21:01, 98, 68
2015-01-01, 06:21:02, 98, 69
2015-01-01, 06:21:03, 98, 70
2015-01-01, 06:21:04, 98, 70
2015-01-01, 06:21:05, 98, 70
2015-01-01, 06:21:06, 98, 70
2015-01-01, 06:21:07, 98, 69
2015-01-01, 06:21:08, 98, 69
2015-01-01, 06:21:09, 98, 68
2015-01-01, 06:21:10, 98, 67
2015-01-01, 06:21:11, 98, 66
2015-01-01, 06:21:12, 98, 65
2015-01-01, 06:21:13, 98, 64
2015-01-01, 06:21:14, 98, 64
2015-01-01, 06:21:15, 98, 63
2015-01-01, 06:21:16, 98, 63
2015-01-01, 06:21:17, 98, 63
2015-01-01, 06:21:18, 98, 63
2015-01-01, 06:21:19, 98, 63
2015-01-01, 06:21:20, 98, 64
2015-01-01, 06:21:21, 98, 63
2015-01-01, 06:21:22, 98, 64
2015-01-01, 06:21:23, 98, 64
2015-01-01, 06:21:24, 98, 64
2015-01-01, 06:21:25, 98, 64
2015-01-01, 06:21:26, 98, 64
2015-01-01, 06:21:27, 98, 64
2015-01-01, 06:21:28, 98, 65
2015-01-01, 06:21:29, 98, 65
2015-01-01, 06:21:30, 98, 65
2015-01-01, 06:21:31, 98, 65
2015-01-01, 06:21:32, 98, 65
2015-01-01, 06:21:33, 98, 65
2015-01-01, 06:21:34, 98, 65
2015-01-01, 06:21:35, 98, 66
2015-01-01, 06:21:36, 98, 66
2015-01-01, 06:21:37, 98, 67
2015-01-01, 06:21:38, 98, 67
2015-01-01, 06:21:39, 98, 68
2015-01-01, 06:21:40, 98, 69
