DATE,TIME,SPO2,PULSE
0000-00-00, 00:00:00, 98, 59
0000-00-00, 00:00:01, 98, 59
0000-00-00, 00:00:02, 98, 59
0000-00-00, 00:00:03, 98, 59
0000-00-00, 00:00:04, 98, 59
0000-00-00, 00:00:05, 98, 59
0000-00-00, 00:00:06, 98, 59
0000-00-00, 00:00:07, 98, 59
0000-00-00, 00:00:08, 98, 59
0000-00-00, 00:00:09, 98, 59
0000-00-00, 00:00:10, 98, 59
0000-00-00, 00:00:11, 98, 59
0000-00-00, 00:00:12, 98, 59
0000-00-00, 00:00:13, 98, 59
0000-00-00, 00:00:14, 98, 57
0000-00-00, 00:00:15, 98, 57
0000-00-00, 00:00:16, 98, 57
0000-00-00, 00:00:17, 98, 57
0000-00-00, 00:00:18, 98, 57
0000-00-00, 00:00:19, 98, 57
0000-00-00, 00:00:20, 127, 255
0000-00-00, 00:00:21, 127, 255
0000-00-00, 00:00:22, 127, 255
0000-00-00, 00:00:23, 127, 255
0000-00-00, 00:00:24, 127, 255
0000-00-00, 00:00:25, 127, 255
0000-00-00, 00:00:26, 127, 255
0000-00-00, 00:00:27, 127, 255
0000-00-00, 00:00:28, 127, 255
0000-00-00, 00:00:29, 127, 255
0000-00-00, 00:00:30, 127, 255
0000-00-00, 00:00:31, 127, 255
0000-00-00, 00:00:32, 127, 255
0000-00-00, 00:00:33, 127, 255
0000-00-00, 00:00:34, 127, 255
0000-00-00, 00:00:35, 127, 255
0000-00-00, 00:00:36, 127, 255
0000-00-00, 00:00:37, 127, 255
0000-00-00, 00:00:38, 127, 255
0000-00-00, 00:00:39, 127, 255
0000-00-00, 00:00:40, 127, 255
0000-00-00, 00:00:41, 127, 255
0000-00-00, 00:00:42, 127, 255
0000-00-00, 00:00:43, 127, 255
0000-00-00, 00:00:44, 127, 255
0000-00-00, 00:00:45, 127, 255
0000-00-00, 00:00:46, 127, 255
0000-00-00, 00:00:47, 127, 255
0000-00-00, 00:00:48, 127, 255
0000-00-00, 00:00:49, 127, 255
0000-00-00, 00:00:50, 127, 255
0000-00-00, 00:00:51, 127, 255
0000-00-00, 00:00:52, 127, 255
0000-00-00, 00:00:53, 127, 255
0000-00-00, 00:00:54, 84, 100
0000-00-00, 00:00:55, 84, 100
0000-00-00, 00:00:56, 81, 100
0000-00-00, 00:00:57, 81, 100
0000-00-00, 00:00:58, 79, 100
0000-00-00, 00:00:59, 79, 100
0000-00-00, 00:01:00, 79, 100
0000-00-00, 00:01:01, 79, 100
0000-00-00, 00:01:02, 79, 100
